sample	category	filename	relative_path	size_bytes	size_human	url
T2T11	assembly	T2T11.hap2.fasta	assemblies/T2T11/T2T11.hap2.fasta	2951972842	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T11&files=T2T11.hap2.fasta
T2T12	assembly	T2T12.combined.fasta	assemblies/T2T12/T2T12.combined.fasta	6094465850	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T12&files=T2T12.combined.fasta
T2T12	assembly	T2T12.contig_pofo_assignment.tsv	assemblies/T2T12/T2T12.contig_pofo_assignment.tsv	35148	34.3KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T12&files=T2T12.contig_pofo_assignment.tsv
T2T12	assembly	T2T12.hap1.fasta	assemblies/T2T12/T2T12.hap1.fasta	3013204185	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T12&files=T2T12.hap1.fasta
T2T12	assembly	T2T12.hap2.fasta	assemblies/T2T12/T2T12.hap2.fasta	3026874092	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T12&files=T2T12.hap2.fasta
T2T13	assembly	T2T13.combined.fasta	assemblies/T2T13/T2T13.combined.fasta	6132431317	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T13&files=T2T13.combined.fasta
T2T13	assembly	T2T13.contig_pofo_assignment.tsv	assemblies/T2T13/T2T13.contig_pofo_assignment.tsv	47256	46.1KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T13&files=T2T13.contig_pofo_assignment.tsv
T2T13	assembly	T2T13.hap1.fasta	assemblies/T2T13/T2T13.hap1.fasta	3034782200	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T13&files=T2T13.hap1.fasta
T2T13	assembly	T2T13.hap2.fasta	assemblies/T2T13/T2T13.hap2.fasta	3027794950	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T13&files=T2T13.hap2.fasta
T2T15	assembly	T2T15.combined.fasta	assemblies/T2T15/T2T15.combined.fasta	6105475092	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T15&files=T2T15.combined.fasta
